pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-21,98.2,-1.94,5.74,"Ohtani, Shohei",666135,660271,,called_strike,,,,,2,Alex Kirilloff called out on strikes.,R,L,R,LAA,MIN,S,,,0,0,2023,-0.39,1.17,0.13,3.26,,,,1,6,Top,,,,,595453,,,6.584282781426207,-142.90990276199648,-4.046481168992811,-6.741656983575659,29.98250032072878,-15.30214374728069,3.24,1.6,,,,99.6,2265.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.66,,,,,,,,43,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,212.0,0.0,-0.028
FF,2023-05-21,98.0,-1.84,5.74,"Ohtani, Shohei",621043,660271,strikeout,swinging_strike,,,,,9,Carlos Correa strikes out swinging.,R,R,R,LAA,MIN,S,2.0,,2,2,2023,-0.41,1.29,0.45,2.24,,,,0,6,Top,,,,,595453,,,7.204536332111326,-142.45705349837786,-6.99736951312021,-7.276872038794491,33.39580260286285,-13.185378946819382,3.51,1.71,,,,98.7,2228.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.7,,,0.0,1.0,0.0,0.0,,42,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,215.0,0.033,-0.205
FS,2023-05-21,89.6,-1.85,5.71,"Ohtani, Shohei",621043,660271,,ball,,,,,14,Carlos Correa strikes out swinging.,R,R,R,LAA,MIN,B,,,1,2,2023,-1.09,0.29,0.82,0.82,,,,0,6,Top,,,,,595453,,,9.01699971241509,-130.150832718036,-6.760514824885523,-14.290708662924274,26.578468861814507,-27.6727915007606,3.6,1.71,,,,90.8,1595.0,7.0,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.47,,,,,,,,42,4,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,226.0,0.0,0.029
SI,2023-05-21,93.4,-1.97,5.53,"Ohtani, Shohei",621043,660271,,called_strike,,,,,14,Carlos Correa strikes out swinging.,R,R,R,LAA,MIN,S,,,1,1,2023,-1.13,0.88,0.83,1.88,,,,0,6,Top,,,,,595453,,,9.804616724164967,-135.69782684097254,-5.645985662494469,-16.045124951831202,28.98965904333784,-20.17187461827009,3.6,1.71,,,,94.6,2112.0,7.0,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.49,,,,,,,,42,3,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,174.0,0.0,-0.053
SI,2023-05-21,94.7,-1.83,5.61,"Ohtani, Shohei",621043,660271,,ball,,,,,14,Carlos Correa strikes out swinging.,R,R,R,LAA,MIN,B,,,0,1,2023,-1.07,0.8,1.78,1.25,,,,0,6,Top,,,,,595453,,,11.881803492611828,-137.30144576284198,-7.526447011404233,-16.083050174352824,29.790046487944096,-20.45699022820482,3.53,1.71,,,,95.4,2016.0,6.9,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.63,,,,,,,,42,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,183.0,0.0,0.03
ST,2023-05-21,81.8,-2.08,5.67,"Ohtani, Shohei",621043,660271,,called_strike,,,,,8,Carlos Correa strikes out swinging.,R,R,R,LAA,MIN,S,,,0,0,2023,0.91,0.37,-0.24,1.74,,,,0,6,Top,,,,,595453,,,2.4032278823056017,-119.0410233872167,-2.991317275062899,8.150369405372983,24.49770366515289,-28.24593397383662,3.46,1.71,,,,82.3,2349.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.74,,,,,,,,42,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,70.0,0.0,-0.037
SI,2023-05-21,92.6,-2.1,5.59,"Ohtani, Shohei",608336,660271,strikeout,swinging_strike,,,,,8,Joey Gallo strikes out swinging.,R,L,R,LAA,MIN,S,2.0,,0,2,2023,-1.42,0.3,0.03,1.6,,,680777.0,2,5,Top,,,,,595453,,,8.626548721701733,-134.41850927172175,-5.011023485080675,-19.08379176612101,31.767298660334923,-27.57252452183133,3.38,1.6,,,,93.1,2404.0,6.9,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.58,,,0.0,1.0,0.0,0.0,,36,3,Sinker,1,1,1,1,1,1,1,1,Strategic,Standard,236.0,0.031,-0.169
FS,2023-05-21,90.9,-2.08,5.61,"Ohtani, Shohei",608336,660271,,swinging_strike,,,,,13,Joey Gallo strikes out swinging.,R,L,R,LAA,MIN,S,,,0,1,2023,-1.29,0.09,-0.98,2.17,,,680777.0,2,5,Top,,,,,595453,,,5.601433096078992,-132.184786539613,-2.877077850772465,-16.37447509062507,29.993406854625924,-30.727586259583948,3.38,1.6,,,,91.7,2813.0,7.0,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.55,,,,,,,,36,2,Split-Finger,1,1,1,1,1,1,1,1,Strategic,Standard,186.0,0.0,-0.038
FF,2023-05-21,98.1,-1.99,5.69,"Ohtani, Shohei",608336,660271,,foul_tip,,,,,1,Joey Gallo strikes out swinging.,R,L,R,LAA,MIN,S,,,0,0,2023,-0.19,1.1,-0.39,2.9,,,680777.0,2,5,Top,,,,,595453,,,4.833331924192925,-142.88545563629353,-4.700312062042782,-3.686503320950546,31.809882755179427,-16.210605197595093,3.38,1.6,,,,99.4,2227.0,6.9,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.63,,,,,,,,36,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,212.0,0.0,-0.036
FC,2023-05-21,85.8,-2.25,5.71,"Ohtani, Shohei",680777,660271,hit_by_pitch,hit_by_pitch,,,,,11,Ryan Jeffers hit by pitch.,R,R,R,LAA,MIN,B,,,1,0,2023,0.49,-0.09,-2.17,3.59,,,,2,5,Top,,,,,595453,,,-0.8135360399855585,-124.94377823859386,1.4066053005098471,5.350897949749203,24.60838747353101,-33.60123202859441,3.27,1.6,,,,86.1,2378.0,6.4,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,54.12,,,0.7,1.0,0.0,0.0,,35,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,111.0,-0.017,0.118
FF,2023-05-21,94.4,-1.84,5.83,"Ohtani, Shohei",680777,660271,,ball,,,,,11,Ryan Jeffers hit by pitch.,R,R,R,LAA,MIN,B,,,0,0,2023,-0.42,1.17,-0.72,4.28,,,,2,5,Top,,,,,595453,,,3.874480598641577,-137.50765297633035,-0.975369134172254,-6.149898299253391,29.56005362801231,-17.25501341915006,3.36,1.6,,,,95.6,2013.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.66,,,,,,,,35,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,214.0,0.0,0.021
ST,2023-05-21,83.5,-1.76,6.23,"Ohtani, Shohei",456781,660271,grounded_into_double_play,hit_into_play,,,,,4,"Donovan Solano grounds into a double play, third baseman Gio Urshela to second baseman Luis Rengifo to first baseman Jared Walsh.   Willi Castro out at 2nd.    Donovan Solano out at 1st.",R,R,R,LAA,MIN,X,5.0,ground_ball,2,2,2023,1.04,0.19,-0.56,2.43,,,650489.0,0,5,Top,100.59,165.35,,,595453,,,0.7314201938605103,-121.71062249563808,-2.7474800920645803,10.203892072434284,23.010314259053573,-29.985947417927687,3.06,1.46,6.0,82.8,-22.0,84.3,2594.0,6.6,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.87,0.063,0.06,0.0,1.0,0.0,0.0,2.0,34,6,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,56.0,0.098,-0.473
ST,2023-05-21,82.4,-1.84,6.08,"Ohtani, Shohei",456781,660271,,foul,,,,,6,"Donovan Solano grounds into a double play, third baseman Gio Urshela to second baseman Luis Rengifo to first baseman Jared Walsh.   Willi Castro out at 2nd.    Donovan Solano out at 1st.",R,R,R,LAA,MIN,S,,,2,2,2023,1.21,0.23,0.64,2.46,,,650489.0,0,5,Top,,,,,595453,,,3.3142092811188624,-119.99495925069976,-2.1798910001700063,10.984388522704013,23.770324701034724,-29.708051228184733,3.06,1.46,220.0,78.9,52.0,83.2,2512.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.66,,,,,,,,34,5,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,52.0,0.0,0.0
ST,2023-05-21,82.3,-2.32,5.47,"Ohtani, Shohei",456781,660271,,called_strike,,,,,8,"Donovan Solano grounds into a double play, third baseman Gio Urshela to second baseman Luis Rengifo to first baseman Jared Walsh.   Willi Castro out at 2nd.    Donovan Solano out at 1st.",R,R,R,LAA,MIN,S,,,2,1,2023,1.62,0.27,-0.22,1.63,,,650489.0,0,5,Top,,,,,595453,,,1.6377850509611722,-119.89705910107551,-2.728698727332449,15.304592877233052,23.49107350817689,-29.290371788058945,2.99,1.46,,,,82.8,2594.0,6.6,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.88,,,,,,,,34,4,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,66.0,0.0,-0.084
ST,2023-05-21,81.2,-2.23,5.53,"Ohtani, Shohei",456781,660271,,ball,,,,,14,"Donovan Solano grounds into a double play, third baseman Gio Urshela to second baseman Luis Rengifo to first baseman Jared Walsh.   Willi Castro out at 2nd.    Donovan Solano out at 1st.",R,R,R,LAA,MIN,B,,,1,1,2023,1.54,0.27,1.43,1.64,,,650489.0,0,5,Top,,,,,595453,,,5.295833451471157,-118.16902453752274,-2.571888999075556,13.269379837117125,23.905462339639257,-29.34663482355133,2.99,1.46,,,,81.7,2528.0,6.7,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.77,,,,,,,,34,3,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,69.0,0.0,0.059
FF,2023-05-21,94.8,-1.84,5.78,"Ohtani, Shohei",456781,660271,,ball,,,,,11,"Donovan Solano grounds into a double play, third baseman Gio Urshela to second baseman Luis Rengifo to first baseman Jared Walsh.   Willi Castro out at 2nd.    Donovan Solano out at 1st.",R,R,R,LAA,MIN,B,,,0,1,2023,-0.29,1.25,-0.99,4.13,,,650489.0,0,5,Top,,,,,595453,,,2.9039167808627173,-138.17065385592355,-1.4611910586049812,-4.384075917110751,29.83232823923182,-16.03777403558895,3.01,1.46,,,,95.9,2123.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.73,,,,,,,,34,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,210.0,0.0,0.025
FF,2023-05-21,95.4,-1.83,5.85,"Ohtani, Shohei",456781,660271,,called_strike,,,,,1,"Donovan Solano grounds into a double play, third baseman Gio Urshela to second baseman Luis Rengifo to first baseman Jared Walsh.   Willi Castro out at 2nd.    Donovan Solano out at 1st.",R,R,R,LAA,MIN,S,,,0,0,2023,-0.53,1.22,-0.59,2.87,,,650489.0,0,5,Top,,,,,595453,,,4.494151660143126,-138.8817036238631,-5.026660597947496,-7.781705819347799,29.09448918638024,-15.47749952073762,2.97,1.46,,,,96.8,2094.0,6.9,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.61,,,,,,,,34,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,209.0,0.0,-0.051
FF,2023-05-21,94.8,-2.12,5.6,"Ohtani, Shohei",650489,660271,single,hit_into_play,,,,,2,Willi Castro singles on a line drive to left fielder Mickey Moniak.,R,L,R,LAA,MIN,X,7.0,line_drive,1,1,2023,-0.19,1.09,0.0,3.17,,,,0,5,Top,93.33,115.05,,,595453,,,6.009091316748044,-137.9561436475438,-3.1805072721424184,-3.729466177460365,29.249753790070223,-17.697485379887137,3.54,1.67,203.0,71.0,23.0,95.9,2281.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.68,0.966,0.872,0.9,1.0,1.0,0.0,4.0,33,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,213.0,-0.047,0.401
FC,2023-05-21,89.1,-2.1,5.63,"Ohtani, Shohei",650489,660271,,foul_tip,,,,,9,Willi Castro singles on a line drive to left fielder Mickey Moniak.,R,L,R,LAA,MIN,S,,,1,0,2023,0.36,0.7,0.71,1.81,,,,0,5,Top,,,,,595453,,,6.204910636842013,-129.68892829241204,-4.889367877058977,2.7793879807689925,26.87103040800552,-23.478269759577195,3.54,1.67,,,,90.0,2286.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.7,,,,,,,,33,2,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,178.0,0.0,-0.046
ST,2023-05-21,80.8,-2.2,5.68,"Ohtani, Shohei",650489,660271,,ball,,,,,11,Willi Castro singles on a line drive to left fielder Mickey Moniak.,R,L,R,LAA,MIN,B,,,0,0,2023,1.59,0.63,-1.03,2.73,,,,0,5,Top,,,,,595453,,,-0.4261916416727968,-117.65102835677804,-1.1013849797009023,14.783157336280007,23.371445774022792,-26.35288051905247,3.42,1.67,,,,81.5,2362.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.66,,,,,,,,33,1,Sweeper,1,1,1,1,1,1,1,1,Strategic,Standard,82.0,0.0,0.039
FF,2023-05-21,95.9,-2.26,5.57,"Ohtani, Shohei",663616,660271,field_out,hit_into_play,,,,,2,Trevor Larnach flies out to left fielder Mickey Moniak.,R,L,R,LAA,MIN,X,7.0,fly_ball,1,2,2023,-0.03,1.11,-0.06,3.28,,,,2,4,Top,42.35,108.26,,,595453,,,5.9164812927281005,-139.5823567032627,-2.988845611288145,-1.6564623379771966,31.13887627180477,-17.244152739075485,3.63,1.8,305.0,91.6,29.0,96.8,2300.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.73,0.123,0.186,0.0,1.0,0.0,0.0,3.0,27,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,201.0,0.011,-0.071
ST,2023-05-21,82.7,-1.71,6.56,"Ohtani, Shohei",663616,660271,,ball,,,,,14,Trevor Larnach flies out to left fielder Mickey Moniak.,R,L,R,LAA,MIN,B,,,0,2,2023,1.06,-0.08,1.57,0.85,,,,2,4,Top,,,,,595453,,,5.435280130913233,-120.24886856346708,-6.356138802102222,9.154025901750408,23.74982306862581,-31.93220909495292,3.54,1.8,,,,83.1,2425.0,6.6,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.87,,,,,,,,27,3,Sweeper,0,1,1,0,1,0,1,0,Strategic,Standard,143.0,0.0,0.014
ST,2023-05-21,81.6,-2.06,6.08,"Ohtani, Shohei",663616,660271,,swinging_strike,,,,,13,Trevor Larnach flies out to left fielder Mickey Moniak.,R,L,R,LAA,MIN,S,,,0,1,2023,1.38,0.02,-0.11,1.37,,,,2,4,Top,,,,,595453,,,1.7296600451459452,-118.8823673361713,-4.079419443479788,12.824061733309572,22.18338165361128,-31.456540382873584,3.63,1.8,,,,82.0,2596.0,6.5,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,54.04,,,,,,,,27,2,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,52.0,0.0,-0.025
FC,2023-05-21,93.8,-2.29,5.36,"Ohtani, Shohei",663616,660271,,called_strike,,,,,7,Trevor Larnach flies out to left fielder Mickey Moniak.,R,L,R,LAA,MIN,S,,,0,0,2023,0.17,0.7,-0.38,1.77,,,,2,4,Top,,,,,595453,,,4.616812053451433,-136.71545517769297,-5.309363009119824,1.382243812821231,23.018337954238717,-22.452799730498768,3.56,1.8,,,,95.6,2484.0,6.7,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.78,,,,,,,,27,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,181.0,0.0,-0.021
FF,2023-05-21,97.3,-2.09,5.52,"Ohtani, Shohei",571657,660271,strikeout,swinging_strike,,,,,6,Kyle Farmer strikes out swinging.,R,R,R,LAA,MIN,S,2.0,,1,2,2023,-0.07,1.07,0.4,2.65,,,,1,4,Top,,,,,595453,,,6.915281066482983,-141.6675637399728,-4.726353697582198,-2.4487868016881094,29.48318174600833,-16.837854784463776,3.33,1.55,,,,98.6,2286.0,6.8,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.7,,,0.0,1.0,0.0,0.0,,26,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,204.0,0.016,-0.122
ST,2023-05-21,82.0,-2.47,5.48,"Ohtani, Shohei",571657,660271,,foul,,,,,4,Kyle Farmer strikes out swinging.,R,R,R,LAA,MIN,S,,,1,1,2023,1.6,0.46,-0.64,2.4,,,,1,4,Top,,,,,595453,,,1.0347212643556976,-119.45637945920176,-1.2731666384496418,15.004095048596964,25.44999084469722,-27.753346699526176,3.33,1.55,323.0,102.7,26.0,82.3,2538.0,6.7,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.85,,,,,,,,26,3,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,55.0,0.0,-0.044
SI,2023-05-21,97.5,-2.06,5.58,"Ohtani, Shohei",571657,660271,,ball,,,,,14,Kyle Farmer strikes out swinging.,R,R,R,LAA,MIN,B,,,0,1,2023,-1.44,0.32,1.22,0.74,,,,1,4,Top,,,,,595453,,,12.253028887833146,-141.2320522510296,-8.240186509115537,-22.1816276417984,34.28983073739081,-25.953998482332484,3.35,1.55,,,,98.1,1258.0,7.0,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.49,,,,,,,,26,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,341.0,0.0,0.021
SI,2023-05-21,96.3,-2.12,5.6,"Ohtani, Shohei",571657,660271,,called_strike,,,,,6,Kyle Farmer strikes out swinging.,R,R,R,LAA,MIN,S,,,0,0,2023,-1.34,0.31,0.75,2.22,,,,1,4,Top,,,,,595453,,,10.772142021322296,-139.71043376810604,-4.044492831072343,-20.107664383519868,33.9909024717533,-27.34706224226668,3.33,1.55,,,,96.8,3092.0,6.9,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.57,,,,,,,,26,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,231.0,0.0,-0.028
FC,2023-05-21,90.7,-2.32,5.51,"Ohtani, Shohei",666397,660271,strikeout,swinging_strike,,,,,14,Edouard Julien strikes out swinging.,R,L,R,LAA,MIN,S,2.0,,3,2,2023,0.37,0.31,0.51,1.31,,,,0,4,Top,,,,,595453,,,6.312603153715659,-132.0720258176897,-5.351023142828903,3.210373255525228,24.940492388755644,-27.649157568511114,3.35,1.63,,,,91.9,2538.0,6.7,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.79,,,0.0,1.0,0.0,0.0,,25,6,Cutter,0,1,1,0,1,0,1,0,Strategic,Standard,140.0,0.023,-0.315
ST,2023-05-21,84.9,-2.32,5.46,"Ohtani, Shohei",666397,660271,,ball,,,,,13,Edouard Julien strikes out swinging.,R,L,R,LAA,MIN,B,,,2,2,2023,1.4,0.32,-0.05,1.39,,,,0,4,Top,,,,,595453,,,2.530613174409349,-123.60208118193324,-3.8127191516437353,13.71856895257888,26.52389254188744,-28.364826058587045,3.07,1.63,,,,85.3,2624.0,6.7,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.81,,,,,,,,25,5,Sweeper,0,1,1,0,1,0,1,0,Strategic,Standard,59.0,0.0,0.11
